Year,Female Director,Films,Genre
2001,Nicole Holofcener,Lovely & Amazing,Rom-com
,Victoria Jenson (co Director),Shrek,Fantasy
2002,Karen Moncrieff,Blue Car,Drama
,Callie Khouri ,Divine Secrets of the Ya-Ya Sisterhood,Comedy
,Julie Taymor ,Frida,Biographical
,Laurel Canyon,Lisa Cholodenko,Drama
2003,Jane Campion ,In The Cut,Thriller
,Sofia Coppola,Lost in Translation,Rom-com
,Patty Jenkins,Monster,Thriller
,"Lana Wachowski, Lily Wachowski",The Matrix Reloaded,Sci-Fi
,Nancy Meyers,Something's Gotta Give,Rom-com
,Catherine Hardwicke,Thirteen,Thriller
,Deborah Kampmeier,Virgin,Drama
2004,Lisa Cholodenko,Cavedweller,Drama
,Angela Robinson,D.E.B.S.,Comedy
,Debra Granik,Down to the Bone,Drama
,Martha Coolidge,The Prince & Me,Rom-com
,Jessica Sharzer,Speak,Drama
,Nicole Kassell,The Woodsman,Horror
2005,Karyn Kusama,Æon Flux,Sci-fi
,Rebecca Miller,The Ballad of Jack and Rose,Drama
,Angela Robinson,Herbie: Fully Loaded,Comedy
,Catherine Hardwicke,Lords of Dogtown,Thriller
,Niki Caro,North Country,Thriller
,Mary Harron,The Notorious Bettie Page,Thriller
2006,Julia Loktev,Day Night Day Night,Thriller
,Karen Moncrieff,The Dead Girl,Thriller
,Katherine Dieckmann,Diggers,Comedy
,Nicole Holofcener,Friends with Money,Rom-com
,Nancy Meyers,The Holiday,Rom-com
,Sofia Coppola,Marie Antoinette,Romance
,Martha Coolidge,Material Girls,Rom-com
,Kelly Reichardt,Old Joy,Drama
,Laurie Collyer,Sherrybaby,Drama
2007,Julie Taymor,Across the Universe,Romance
,Deborah Kampmeier,Hounddog,Drama
,Amy Heckerling,I Could Never Be Your Woman,Rom-com
,Susanne Bier,Things We Lost in the Fire,Drama
,Adrienne Shelly,Waitress,Comedy
,Angelina Jolie,A Place in Time,Documentry
2008,Courtney Hunt,Frozen River,Thriller
,Kathryn Bigelow,The Hurt Locker,Thriller
,Kimberly Peirce,Stop-Loss,Thriller
,Christine Jeffs,Sunshine Cleaning,Thriller
,Jennifer Lynch,Surveillance,Thriller
