Year,Top 5 Movies,Directors,Gender,Genre,Gross
2004,TaeGukGi: Brotherhood Of War,Je-gyu Kang,Male,Drama,"$11,422,844"
,A Moment to Remember,John H. Lee,Male,Romance,"$8,643,901"
,Ghost House,Kim Sang-jin,Male,Comedy,"$8,628,534"
,My Brother,Ahn Kwon-Tae,Male,Drama,"$8,042,554"
,Fighter in the wind,Yang Yun-ho,Male,Action,"$6,641,730"
2005,Welcome to Dongmakgol,Park Kwang-hyun,Male,Drama,"$29,245,363"
,Marrying the Mafia 2: Enemy-in-Law,Jeong Yong-ki,Male,Comedy,"$20,755,878"
,Marathon,Jeong Yoon-cheol,Male,Drama,"$19,060,872"
,Sympathy for Lady Vengeance ,Park Chan-wook,Male,Thriller,"$14,870,373"
,Another Public Enemy,Kang Woo-suk,Male,Drama,"$14,569,356"
2006,The Host,Bong Joon-ho,Male,Sci-Fi,"$48,379,778"
,King and the Clown,Lee Joon-ik,Male,Drama,"$44,674,294"
,Tazza: The High Rollers ,CHOI Dong-hoon,Male,Drama,"$26,236,984"
,"My Boss, My Teacher ",KIM Dong-won,Male,Comedy,"$23,175,987"
,Hanbando,KANG Woo-suk,Male,Action,"$14,935,893"
2007,Dragon Wars,Shim Hyung-rae,Male,Action,"$35,779,612"
,18-May,KIM Ji-hoon ,Male,Drama,"$31,978,119"
,Voice of a Murderer,PARK Jin-pyo,Male,Thriller,"$12,761,672"
,Le Grand Chef,JEON Yun-su,Male,Drama,"$13,766,520"
,Miracle on 1st Street,JK YOUN,Male,Drama,"$11,235,537"
2008,The Good the Bad the Weird,Kim Jee-woon,Male,Action,"$31,729,309"
,The Chaser,Na Hong-jin,Male,Thriller,"$24,645,662"
,Scandal Makers,KANG Hyoung-chul ,Male,Comedy,"$39,014,353"
,Public Enemy Returns,KANG Woo-suk,Male,Action,"$20,767,433"
,Forever The Moment,Yun-su Chong,Female,Drama,"$18,940,407"
2009,Haeundae,JK YOUN,Male,Action,"$58,758,946"
,Take Off,KIM Yong-hwa,Male,Drama,"$41,747,877"
,My Girlfriend is an agent,SHIN Terra,Male,Comedy,"$19,129,798"
,Running Turtle,LEE Yeon-woo,Male,Drama,"$14,951,455"
,Mother,BONG Joon-ho,Male,Drama,"$14,495,886"
2010,The Man From Nowhere,LEE Jeong-beom,Male,Action,"$34,156,151"
,Secret Reunion,JANG Hun,Male,Drama,"$18,446,193"
,Moss,KANG Woo-suk,Male,Thriller,"$17,282,058"
,71-Into The Fire,John H. LEE,Male,Drama,"$15,693,800"
,Harmony,KANG DAE KYU,Male,Drama,"$15,692,807"
2011,War of the Arrows,KIM Han-min,Male,Action,"$40,484,309"
,Sunny,KANG Hyoung-chul,Male,Comedy,"$39,184,601"
,Punch,LEE Han,Male,Drama,"$27,937,753"
,Detective K : Secret of Virtuous Widow,KIM Sok-yun,Male,Comedy,"$25,991,131"
,Silenced,HWANG Dong-hyuk,Male,Drama,"$25,791,773"
2012,The Thieves,Dong-hun Choi,Male,Action,"$67,922,295"
,Masquerade,CHOO Chang-min,Male,Drama,"$64,466,605"
,A Werewolf Boy,JO Sung-hee,Male,Romance,"$33,785,429"
,The Grand Heist,KIM Joo-ho,Male,Comedy,"$25,101,277"
,Nameless Gangster : Rules of the Time,YOON Jong-bin,Male,Drama,"$26,496,609"
2013,Miracle in Cell No. 7,Hwan-kyung Lee,Male,Comedy,"$66,301,157"
,Snowpiercer,Bong Joon-ho,Male,Sci-Fi,"$48,550,492"
,The Face Reader,HAN Jae-rim,Male,Drama,"$47,864,232"
